FIOStevilkaZadeve;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY
458441;BREZ POŠKODBE;NOVA GORICA;2.06.2005;22;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;7;NARAVNO OKOLJE;OSTALO;TRČENJE V STOJEČE / PARKIRANO VOZILO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459584327756;136462335154
467302;BREZ POŠKODBE;NOVA GORICA;6.07.2005;12;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;7;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;NEZNANO;NORMALEN;OSTALO;HRAPAV  ASFALT / BETON;459584327756;136462335154
459211;HUDA TELESNA POŠKODBA;NOVA GORICA;28.05.2005;11;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;7;NARAVNO OKOLJE;OSTALO;POVOŽENJE PEŠCA;JASNO;REDEK;SUHO;ZGLAJEN ASFALT / BETON;459584327756;136462335154
466653;BREZ POŠKODBE;NOVA GORICA;30.06.2005;19;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;7;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;NEZNANO;REDEK;SUHO;ZGLAJEN ASFALT / BETON;459584327756;136462335154
453215;BREZ POŠKODBE;NOVA GORICA;7.05.2005;2;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;4;NARAVNO OKOLJE;OSTALO;OSTALO;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;459584707445;136471614813
480927;BREZ POŠKODBE;NOVA GORICA;17.09.2005;10;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;80;REJČEVA ULICA;22;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;459584462589;136428143600
465854;BREZ POŠKODBE;NOVA GORICA;10.07.2005;10;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;80;REJČEVA ULICA;22;NARAVNO OKOLJE;OSTALO;OSTALO;JASNO;NEZNANO;OSTALO;OSTALO;459584462589;136428143600
454515;BREZ POŠKODBE;NOVA GORICA;13.05.2005;12;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;80;REJČEVA ULICA;22;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAČNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459584462589;136428143600
468313;HUDA TELESNA POŠKODBA;NOVA GORICA;19.06.2005;11;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;4;CANKARJEVA ULICA;20;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;ČELNO TRČENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459585528966;136449791715
455688;BREZ POŠKODBE;NOVA GORICA;22.05.2005;11;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;4;CANKARJEVA ULICA;20;NARAVNO OKOLJE;PREMIKI Z VOZILOM;TRČENJE V STOJEČE / PARKIRANO VOZILO;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;459585528966;136449791715
480094;BREZ POŠKODBE;NOVA GORICA;26.10.2005;12;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;4;CANKARJEVA ULICA;20;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAČNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459585528966;136449791715
486248;BREZ POŠKODBE;NOVA GORICA;5.12.2005;7;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;6;NARAVNO OKOLJE;PREMIKI Z VOZILOM;TRČENJE V STOJEČE / PARKIRANO VOZILO;NEZNANO;NEZNANO;MOKRO;HRAPAV  ASFALT / BETON;459586646760;136468213341
460358;BREZ POŠKODBE;NOVA GORICA;15.06.2005;17;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;6;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;NEZNANO;NEZNANO;SUHO;HRAPAV  ASFALT / BETON;459586646760;136468213341
484615;BREZ POŠKODBE;NOVA GORICA;25.11.2005;8;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;6;NARAVNO OKOLJE;PREMIKI Z VOZILOM;BOČNO TRČENJE;OBLAČNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459586646760;136468213341
485767;BREZ POŠKODBE;NOVA GORICA;21.11.2005;17;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;80;REJČEVA ULICA;26;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;459587215186;136409885647
442830;BREZ POŠKODBE;NOVA GORICA;17.02.2005;11;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;4;CANKARJEVA ULICA;24;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NEZNANO;SUHO;ZGLAJEN ASFALT / BETON;459588174089;136445211856
477440;BREZ POŠKODBE;NOVA GORICA;11.10.2005;11;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;14;KIDRIČEVA ULICA;14;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459588621133;136483001871
444503;BREZ POŠKODBE;NOVA GORICA;6.03.2005;23;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;14;KIDRIČEVA ULICA;14;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;NEZNANO;NEZNANO;SUHO;HRAPAV  ASFALT / BETON;459588621133;136483001871
466632;BREZ POŠKODBE;NOVA GORICA;29.07.2005;14;N;CESTA;GLAVNA CESTA II. REDA;103;PERŠETI-N.GORICA-ŠEMPETER;1010;SOLKAN-NOVA GORICA;2400;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459589361395;136515237264
459555;BREZ POŠKODBE;NOVA GORICA;1.06.2005;15;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;4;CANKARJEVA ULICA;22;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NEZNANO;SUHO;ZGLAJEN ASFALT / BETON;459588963979;136451127235
487851;BREZ POŠKODBE;NOVA GORICA;13.12.2005;7;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;9;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459589090688;136461832265
439364;BREZ POŠKODBE;NOVA GORICA;17.01.2005;14;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;9;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OSTALO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459589090688;136461832265
476543;BREZ POŠKODBE;NOVA GORICA;21.08.2005;3;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37057;KROMBERK;16;ULICA BRATOV HVALIČ;17;NARAVNO OKOLJE;OSTALO;ČELNO TRČENJE;OBLAČNO;REDEK;SUHO;ZGLAJEN ASFALT / BETON;459591835608;136626387427
474087;LAŽJA TELESNA POŠKODBA;NOVA GORICA;7.09.2005;18;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;19;LEDINE;2;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459589704332;136430080000
